# SS-017 최종 자막 — 검수 완료본 (단일 구간, 원본 25:52.16–26:57.96)
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# L-22(훅/자막 폭 초과) 재확인 — 각 큐를 34자(17자×2줄) 이하로 짧게 나눴다.
# 시작ms	종료ms	자막
0	6120	여호와께서는 강이 변하여 광야가 되게 하신다 — 이건 거꾸로죠
6120	11120	보통은 광야가 변해서 강이 되는데
11120	16480	하나님은 강이 변하여 광야가
16480	21640	샘이 변하여 마른 땅이 되게도 하신다
21640	26200	왜 그런 거꾸로 되는 일을 하시느냐
26200	29160	그 주민의 악으로 말미암아
29160	32120	옥토가 변하여 염전이 되게 하신다
32120	37880	우리는 하나님이 건지시고 도우시는 쪽만 생각하는데
37880	44440	악한 자들 가운데는 하나님이 거꾸로 하셔서
44440	50360	돌아오게 하시려는 계획이 있다
50360	56120	그러니까 하나님은 너무 교만한 자들은
56120	61080	겸손하게, 어려운 사람들은 높이시는
61080	65801	분이라는 것을 많이 배우게 된 거죠
