# SS-004 최종 자막 — 검수 완료본
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# 시작ms	종료ms	자막
0	3799	그래서 지금도 우리는 믿었다고 해 가지고
3799	6760	우월감을 가지면 안 됩니다.
6760	12079	믿었다고 해 가지고 굉장히 교만한 사람이 있어요.
12079	18720	너희는 하나님을 모른다 이러면서 굉장히 무시하고.
18720	23600	그리스도인의 공동체가 원래 그래서는 안 되는데,
23600	28880	믿음 가진 사람들은 믿음 안 가진 사람들 보면 완전히 아주 취급하고
28880	31960	아주 멸시하고, 우월주의에
31960	35240	사로잡힌 사람들이 있는데
35240	38000	우월주의가 아닌데, 이거는
38000	40720	먼저 믿은 것도 하나님의 은혜 때문에 믿은 거고,
40720	43600	원래 우리가 다 이방 민족이었습니다.
43600	48519	아브라함에게도 네가 원래 이방 민족이었다,
48519	53000	그런데 나의 민족으로 삼아주었다.
53000	56200	은혜를 먼저 경험한 것뿐이지,
56200	59079	그게 우월로 가서는 안 될 것입니다.
